Date,Time,Open,High,Low,Close,Volume
20201102,00:00:00,104.581,104.643,104.580,104.635,1334000000
20201102,00:05:00,104.637,104.692,104.636,104.685,1265255040
20201102,00:10:00,104.684,104.686,104.659,104.669,1117970048
20201102,00:15:00,104.669,104.684,104.661,104.668,1351320960
20201102,00:20:00,104.668,104.688,104.650,104.654,1020819008
20201102,00:25:00,104.654,104.662,104.650,104.654,475001984
20201102,00:30:00,104.655,104.742,104.655,104.735,1028646976
20201102,00:35:00,104.734,104.760,104.728,104.737,1089080064
20201102,00:40:00,104.737,104.753,104.728,104.730,509123008
20201102,00:45:00,104.730,104.755,104.728,104.734,418575008
20201102,00:50:00,104.732,104.764,104.716,104.730,1244930048
20201102,00:55:00,104.732,104.755,104.732,104.747,677728000
20201102,01:00:00,104.747,104.761,104.717,104.719,674166016
20201102,01:05:00,104.718,104.718,104.672,104.678,2147483647
20201102,01:10:00,104.678,104.695,104.665,104.674,1021955008
20201102,01:15:00,104.673,104.684,104.663,104.672,668600000
20201102,01:20:00,104.672,104.680,104.664,104.675,460449984
20201102,01:25:00,104.677,104.701,104.664,104.700,542150016
20201102,01:30:00,104.701,104.712,104.679,104.699,742025024
20201102,01:35:00,104.698,104.698,104.673,104.681,367249984
20201102,01:40:00,104.681,104.703,104.680,104.685,488150016
20201102,01:45:00,104.685,104.702,104.679,104.679,522100000
20201102,01:50:00,104.679,104.720,104.673,104.708,700300032
20201102,01:55:00,104.707,104.723,104.705,104.709,395550016
20201102,02:00:00,104.709,104.716,104.696,104.707,869374976
20201102,02:05:00,104.706,104.711,104.676,104.676,543457024
20201102,02:10:00,104.676,104.679,104.662,104.667,327828000
20201102,02:15:00,104.667,104.668,104.649,104.667,382449984
20201102,02:20:00,104.666,104.667,104.638,104.645,483104992
20201102,02:25:00,104.644,104.645,104.637,104.638,349071008
20201102,02:30:00,104.638,104.640,104.630,104.633,328169984
20201102,02:35:00,104.632,104.652,104.629,104.649,425764992
20201102,02:40:00,104.650,104.654,104.634,104.650,297755008
20201102,02:45:00,104.650,104.659,104.631,104.631,562966016
20201102,02:50:00,104.630,104.652,104.630,104.651,520126016
20201102,02:55:00,104.651,104.665,104.651,104.661,675249984
20201102,03:00:00,104.661,104.672,104.657,104.658,568724992
20201102,03:05:00,104.657,104.657,104.646,104.652,356150016
20201102,03:10:00,104.652,104.660,104.650,104.656,299000000
20201102,03:15:00,104.656,104.659,104.655,104.656,210620000
20201102,03:20:00,104.657,104.663,104.651,104.652,346436992
20201102,03:25:00,104.652,104.663,104.651,104.661,365158016
20201102,03:30:00,104.661,104.666,104.656,104.658,477841984
20201102,03:35:00,104.658,104.664,104.656,104.658,505100000
20201102,03:40:00,104.659,104.668,104.657,104.667,118450000
20201102,03:45:00,104.667,104.671,104.655,104.657,254150000
20201102,03:50:00,104.657,104.677,104.657,104.674,151858000
20201102,03:55:00,104.674,104.679,104.670,104.679,140108000
20201102,04:00:00,104.679,104.696,104.674,104.689,416300000
20201102,04:05:00,104.690,104.699,104.690,104.699,243802000
20201102,04:10:00,104.698,104.712,104.696,104.711,166650000
20201102,04:15:00,104.712,104.719,104.706,104.716,349500000
20201102,04:20:00,104.716,104.719,104.712,104.716,311809984
20201102,04:25:00,104.716,104.732,104.716,104.728,365500000
20201102,04:30:00,104.731,104.738,104.715,104.720,497249984
20201102,04:35:00,104.721,104.731,104.710,104.727,299233984
20201102,04:40:00,104.730,104.756,104.727,104.740,559049984
20201102,04:45:00,104.740,104.744,104.724,104.731,259900000
20201102,04:50:00,104.732,104.733,104.715,104.727,403849984
20201102,04:55:00,104.730,104.736,104.714,104.720,319000000
20201102,05:00:00,104.720,104.722,104.704,104.718,527831008
20201102,05:05:00,104.718,104.746,104.717,104.740,855225024
20201102,05:10:00,104.740,104.740,104.727,104.729,502400000
20201102,05:15:00,104.728,104.746,104.725,104.738,419244992
20201102,05:20:00,104.738,104.743,104.721,104.728,289075008
20201102,05:25:00,104.728,104.735,104.725,104.732,429651008
20201102,05:30:00,104.732,104.738,104.727,104.730,289433984
20201102,05:35:00,104.730,104.735,104.725,104.733,137350000
20201102,05:40:00,104.732,104.732,104.717,104.717,214240000
20201102,05:45:00,104.718,104.727,104.713,104.723,361024992
20201102,05:50:00,104.722,104.733,104.713,104.715,464449984
20201102,05:55:00,104.714,104.715,104.690,104.697,727849984
20201102,06:00:00,104.697,104.727,104.692,104.723,681049984
20201102,06:05:00,104.723,104.741,104.715,104.739,280737984
20201102,06:10:00,104.738,104.775,104.735,104.768,494489984
20201102,06:15:00,104.767,104.769,104.742,104.743,496739008
20201102,06:20:00,104.744,104.747,104.725,104.731,443200000
20201102,06:25:00,104.732,104.732,104.723,104.723,321500992
20201102,06:30:00,104.724,104.740,104.723,104.727,535344992
20201102,06:35:00,104.726,104.741,104.724,104.731,349510016
20201102,06:40:00,104.732,104.747,104.724,104.744,500200000
20201102,06:45:00,104.745,104.752,104.729,104.738,480051008
20201102,06:50:00,104.738,104.748,104.730,104.740,274052000
20201102,06:55:00,104.740,104.748,104.735,104.748,446952000
20201102,07:00:00,104.747,104.767,104.747,104.760,742601984
20201102,07:05:00,104.760,104.762,104.749,104.750,450374016
20201102,07:10:00,104.751,104.765,104.749,104.761,452200000
20201102,07:15:00,104.761,104.762,104.754,104.756,769950016
20201102,07:20:00,104.756,104.770,104.751,104.770,676899968
20201102,07:25:00,104.770,104.778,104.762,104.774,669900032
20201102,07:30:00,104.775,104.780,104.770,104.771,712371968
20201102,07:35:00,104.772,104.792,104.771,104.792,521275008
20201102,07:40:00,104.792,104.808,104.781,104.806,911910016
20201102,07:45:00,104.805,104.821,104.800,104.805,954558016
20201102,07:50:00,104.805,104.811,104.797,104.801,609302016
20201102,07:55:00,104.800,104.859,104.800,104.849,1326126976
20201102,08:00:00,104.849,104.850,104.827,104.845,1860999936
20201102,08:05:00,104.844,104.857,104.834,104.854,1233600000
20201102,08:10:00,104.854,104.862,104.840,104.844,1127650048
20201102,08:15:00,104.843,104.878,104.842,104.875,914056000
20201102,08:20:00,104.875,104.917,104.875,104.909,1726702976
20201102,08:25:00,104.908,104.928,104.905,104.906,994905984
20201102,08:30:00,104.907,104.923,104.905,104.916,838318016
20201102,08:35:00,104.916,104.950,104.912,104.937,871526016
20201102,08:40:00,104.936,104.938,104.915,104.930,865680000
20201102,08:45:00,104.930,104.947,104.926,104.937,1092610048
20201102,08:50:00,104.937,104.946,104.923,104.923,720748992
20201102,08:55:00,104.923,104.930,104.905,104.912,881624000
20201102,09:00:00,104.911,104.920,104.881,104.881,1127368960
20201102,09:05:00,104.881,104.882,104.855,104.858,773291008
20201102,09:10:00,104.859,104.874,104.857,104.865,799150016
20201102,09:15:00,104.866,104.880,104.862,104.878,687601024
20201102,09:20:00,104.878,104.880,104.854,104.855,501820000
20201102,09:25:00,104.855,104.872,104.851,104.858,476905984
20201102,09:30:00,104.859,104.864,104.827,104.832,780348032
20201102,09:35:00,104.831,104.833,104.799,104.806,742305024
20201102,09:40:00,104.806,104.833,104.804,104.828,265988992
20201102,09:45:00,104.828,104.856,104.824,104.843,765737984
20201102,09:50:00,104.844,104.859,104.824,104.824,449703008
20201102,09:55:00,104.824,104.829,104.799,104.803,756675968
20201102,10:00:00,104.804,104.813,104.792,104.793,525286016
20201102,10:05:00,104.795,104.801,104.768,104.768,396839008
20201102,10:10:00,104.768,104.774,104.726,104.731,814028992
20201102,10:15:00,104.732,104.759,104.731,104.752,587950016
20201102,10:20:00,104.752,104.760,104.746,104.759,435100000
20201102,10:25:00,104.759,104.760,104.741,104.743,421644992
20201102,10:30:00,104.742,104.751,104.730,104.742,418100000
20201102,10:35:00,104.742,104.762,104.722,104.759,344358016
20201102,10:40:00,104.759,104.759,104.738,104.738,474500000
20201102,10:45:00,104.738,104.742,104.711,104.712,375451008
20201102,10:50:00,104.712,104.727,104.708,104.712,247543008
20201102,10:55:00,104.712,104.724,104.708,104.709,522249984
20201102,11:00:00,104.710,104.733,104.708,104.733,483455008
20201102,11:05:00,104.733,104.739,104.722,104.732,475971008
20201102,11:10:00,104.733,104.739,104.728,104.739,370950016
20201102,11:15:00,104.739,104.739,104.718,104.722,283750016
20201102,11:20:00,104.721,104.725,104.701,104.705,304160000
20201102,11:25:00,104.704,104.705,104.682,104.703,473600992
20201102,11:30:00,104.704,104.727,104.700,104.726,660678016
