Date,Time,Open,High,Low,Close,Volume
20201102,00:00:00,1.16414,1.16464,1.16408,1.16443,685902016
20201102,00:05:00,1.16443,1.16444,1.16419,1.16435,714806016
20201102,00:10:00,1.16434,1.16442,1.16416,1.16422,551350016
20201102,00:15:00,1.16423,1.16446,1.16423,1.16433,459604000
20201102,00:20:00,1.16431,1.16436,1.16397,1.16410,633702976
20201102,00:25:00,1.16411,1.16413,1.16397,1.16406,505049984
20201102,00:30:00,1.16406,1.16417,1.16389,1.16397,765651968
20201102,00:35:00,1.16398,1.16402,1.16386,1.16397,451849984
20201102,00:40:00,1.16397,1.16404,1.16385,1.16385,411479008
20201102,00:45:00,1.16385,1.16397,1.16379,1.16394,364904992
20201102,00:50:00,1.16394,1.16425,1.16376,1.16422,369262016
20201102,00:55:00,1.16420,1.16432,1.16404,1.16416,551950016
20201102,01:00:00,1.16415,1.16426,1.16398,1.16415,441103008
20201102,01:05:00,1.16414,1.16448,1.16414,1.16441,695473024
20201102,01:10:00,1.16442,1.16481,1.16442,1.16477,812688000
20201102,01:15:00,1.16477,1.16487,1.16466,1.16474,590651008
20201102,01:20:00,1.16473,1.16479,1.16447,1.16447,794689024
20201102,01:25:00,1.16449,1.16452,1.16424,1.16425,432503008
20201102,01:30:00,1.16425,1.16446,1.16415,1.16421,532612000
20201102,01:35:00,1.16421,1.16449,1.16420,1.16447,442676992
20201102,01:40:00,1.16446,1.16448,1.16419,1.16420,347950016
20201102,01:45:00,1.16419,1.16453,1.16419,1.16453,415871008
20201102,01:50:00,1.16453,1.16465,1.16435,1.16448,792600000
20201102,01:55:00,1.16447,1.16447,1.16415,1.16418,400150016
20201102,02:00:00,1.16418,1.16432,1.16414,1.16424,415100000
20201102,02:05:00,1.16424,1.16431,1.16416,1.16422,672905984
20201102,02:10:00,1.16421,1.16426,1.16412,1.16424,1338052992
20201102,02:15:00,1.16424,1.16430,1.16392,1.16396,570600000
20201102,02:20:00,1.16396,1.16421,1.16392,1.16413,527950016
20201102,02:25:00,1.16413,1.16417,1.16406,1.16415,230200000
20201102,02:30:00,1.16415,1.16441,1.16414,1.16439,500615008
20201102,02:35:00,1.16439,1.16453,1.16431,1.16441,649800000
20201102,02:40:00,1.16441,1.16448,1.16422,1.16431,424750016
20201102,02:45:00,1.16431,1.16464,1.16430,1.16457,561500032
20201102,02:50:00,1.16457,1.16472,1.16442,1.16449,681049984
20201102,02:55:00,1.16449,1.16458,1.16440,1.16440,603600000
20201102,03:00:00,1.16440,1.16444,1.16429,1.16434,375240000
20201102,03:05:00,1.16433,1.16434,1.16408,1.16413,401400000
20201102,03:10:00,1.16412,1.16425,1.16411,1.16420,199750000
20201102,03:15:00,1.16419,1.16426,1.16408,1.16418,533649984
20201102,03:20:00,1.16418,1.16426,1.16416,1.16426,372000000
20201102,03:25:00,1.16426,1.16430,1.16416,1.16418,270750016
20201102,03:30:00,1.16417,1.16420,1.16411,1.16412,277600000
20201102,03:35:00,1.16412,1.16419,1.16395,1.16397,296500000
20201102,03:40:00,1.16398,1.16413,1.16396,1.16406,232750000
20201102,03:45:00,1.16405,1.16410,1.16393,1.16404,368700000
20201102,03:50:00,1.16405,1.16407,1.16404,1.16406,81500000
20201102,03:55:00,1.16405,1.16408,1.16400,1.16406,336000000
20201102,04:00:00,1.16406,1.16406,1.16379,1.16383,316160000
20201102,04:05:00,1.16382,1.16390,1.16377,1.16384,440500000
20201102,04:10:00,1.16384,1.16388,1.16362,1.16363,302750016
20201102,04:15:00,1.16363,1.16364,1.16346,1.16357,294601984
20201102,04:20:00,1.16356,1.16369,1.16352,1.16356,327000000
20201102,04:25:00,1.16356,1.16359,1.16347,1.16353,237650000
20201102,04:30:00,1.16352,1.16364,1.16350,1.16350,397803008
20201102,04:35:00,1.16350,1.16355,1.16329,1.16330,502224000
20201102,04:40:00,1.16330,1.16333,1.16310,1.16319,540524992
20201102,04:45:00,1.16319,1.16338,1.16315,1.16336,396950016
20201102,04:50:00,1.16337,1.16345,1.16318,1.16322,269000000
20201102,04:55:00,1.16321,1.16324,1.16300,1.16311,305100000
20201102,05:00:00,1.16311,1.16337,1.16309,1.16325,487297984
20201102,05:05:00,1.16324,1.16345,1.16321,1.16342,295504000
20201102,05:10:00,1.16343,1.16346,1.16328,1.16339,199500000
20201102,05:15:00,1.16340,1.16353,1.16339,1.16345,424000000
20201102,05:20:00,1.16346,1.16350,1.16332,1.16341,345000000
20201102,05:25:00,1.16341,1.16350,1.16336,1.16342,300150016
20201102,05:30:00,1.16342,1.16358,1.16336,1.16354,493951008
20201102,05:35:00,1.16353,1.16361,1.16351,1.16358,234000000
20201102,05:40:00,1.16358,1.16363,1.16331,1.16331,365000000
20201102,05:45:00,1.16331,1.16360,1.16326,1.16344,647900032
20201102,05:50:00,1.16344,1.16369,1.16332,1.16365,512350016
20201102,05:55:00,1.16366,1.16395,1.16365,1.16373,606497984
20201102,06:00:00,1.16372,1.16378,1.16354,1.16366,1206475008
